0:01:04.944673
Plot pollution (instant)
         3237028 function calls (3162394 primitive calls) in 70.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1619    0.001    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        1    0.000    0.000    0.104    0.104 contour.py:1483(_get_allsegs_and_allkinds)
       13    0.104    0.008    0.104    0.008 {method 'create_filled_contour' of 'matplotlib.QuadContourGenerator' objects}
     1619    0.006    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        2    0.000    0.000    0.102    0.051 __init__.py:3071(_call_aside)
        1    0.000    0.000    0.102    0.102 __init__.py:3088(_initialize_master_working_set)
    22740    0.015    0.000    0.102    0.000 base.py:3975(_can_hold_identifiers_and_holds_name)
        1    0.000    0.000    0.102    0.102 api.py:5(<module>)
     2980    0.022    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    23145    0.014    0.000    0.090    0.000 base.py:320(_get_coords)
       24    0.000    0.000    0.089    0.004 __init__.py:602(add_entry)
      934    0.087    0.000    0.087    0.000 {built-in method io.open}
      408    0.001    0.000    0.085    0.000 __init__.py:1936(find_on_path)
     2909    0.003    0.000    0.085    0.000 re.py:286(_compile)
    45506    0.023    0.000    0.080    0.000 {pandas._libs.lib.values_from_object}
      185    0.001    0.000    0.079    0.000 sre_compile.py:557(compile)
      251    0.000    0.000    0.079    0.000 re.py:231(compile)
        1    0.000    0.000    0.077    0.077 srtm.py:2(<module>)
     8409    0.075    0.000    0.075    0.000 {built-in method posix.stat}
    23552    0.022    0.000    0.074    0.000 base.py:640(is_empty)
        1    0.000    0.000    0.072    0.072 tif.py:1(<module>)
        1    0.000    0.000    0.072    0.072 __init__.py:173(<module>)
        1    0.000    0.000    0.070    0.070 interpolate.py:2(<module>)
        1    0.000    0.000    0.069    0.069 __init__.py:101(<module>)
212075/210551    0.043    0.000    0.067    0.000 {built-in method builtins.isinstance}
    22740    0.021    0.000    0.066    0.000 base.py:2849(_convert_scalar_indexer)
        2    0.000    0.000    0.065    0.032 colorbar.py:20(<module>)
    22740    0.012    0.000    0.064    0.000 base.py:1681(is_object)
    11417    0.020    0.000    0.064    0.000 series.py:354(_set_axis)
        2    0.000    0.000    0.063    0.031 alignment.py:1(<module>)
    23549    0.030    0.000    0.059    0.000 coords.py:48(__len__)
       49    0.001    0.000    0.059    0.001 backend_tkagg.py:336(motion_notify_event)
        1    0.000    0.000    0.057    0.057 utils.py:2(<module>)
    22744    0.008    0.000    0.056    0.000 series.py:490(get_values)
        1    0.000    0.000    0.056    0.056 pycompat.py:3(<module>)
       49    0.001    0.000    0.056    0.001 backend_bases.py:1961(motion_notify_event)
      772    0.002    0.000    0.055    0.000 __init__.py:2023(distributions_from_metadata)
        6    0.000    0.000    0.055    0.009 api.py:3(<module>)
    46694    0.050    0.000    0.054    0.000 coords.py:44(_update)
    22826    0.019    0.000    0.052    0.000 common.py:131(is_object_dtype)
        1    0.000    0.000    0.051    0.051 groupby.py:8(<module>)
    22744    0.019    0.000    0.049    0.000 managers.py:1556(get_values)
        1    0.000    0.000    0.048    0.048 frame.py:12(<module>)
       49    0.001    0.000    0.048    0.001 backend_bases.py:1628(__init__)
       49    0.002    0.000    0.047    0.001 backend_bases.py:1520(__init__)
        1    0.000    0.000    0.046    0.046 __init__.py:560(_build_master)
        1    0.000    0.000    0.046    0.046 __init__.py:547(__init__)
        6    0.000    0.000    0.045    0.008 core.py:1(<module>)
    23552    0.031    0.000    0.045    0.000 predicates.py:23(__call__)
      386    0.002    0.000    0.045    0.000 __init__.py:2459(from_location)
      117    0.002    0.000    0.043    0.000 chronometer.py:231(show)
        1    0.000    0.000    0.043    0.043 geometry.py:21(compute_geometry)
       96    0.000    0.000    0.041    0.000 genericpath.py:27(isfile)
      185    0.001    0.000    0.040    0.000 sre_parse.py:844(parse)
        1    0.000    0.000    0.040    0.040 __init__.py:63(<module>)
        1    0.000    0.000    0.040    0.040 collection.py:4(<module>)
160532/114100    0.027    0.000    0.040    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.039    0.039 __init__.py:634(<module>)
        4    0.000    0.000    0.038    0.010 base.py:104(geom_type)
  142/136    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
  663/185    0.002    0.000    0.037    0.000 sre_parse.py:407(_parse_sub)
      185    0.000    0.000    0.037    0.000 sre_compile.py:542(_code)
  142/136    0.004    0.000    0.037    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.037    0.037 geometry.py:190(compute_bounds)
        3    0.000    0.000    0.036    0.012 __init__.py:4(<module>)
        2    0.000    0.000    0.036    0.018 __init__.py:7(<module>)
  995/199    0.013    0.000    0.036    0.000 sre_parse.py:470(_parse)
        2    0.000    0.000    0.035    0.018 __init__.py:52(<module>)
        1    0.000    0.000    0.035    0.035 _ellip_harm.py:1(<module>)
